slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alchemy-pay,,!offer:alchemy-pay,,,,,,,,
halliday,,!offer:halliday,,,,,,,,
transak,,!offer:transak,,,,,,,,
