slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
defillama-mainnet-free,,!offer:defillama-free,,mainnet,,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,,mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,,mainnet,,,,,,,,,
