slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,,mainnet,,,,,,,,,,,
etherscan-mainnet,,!offer:etherscan,,mainnet,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,,mainnet,,,,,,,,,,,
