slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
bitget-wallet-mainnet,,!offer:bitget-wallet,,,,,,,,,,,,,,,,,,,
metamask-mainnet,,!offer:metamask,,,,,,,,,,,,,,,,,,,
okxwallet-mainnet,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
rabby-mainnet,,!offer:rabby,,,,,,,,,,,,,,,,,,,
safe-mainnet,,!offer:safe-gnosis,,,,,,,,,,,,,,,,,,,
subwallet-mainnet,,!offer:subwallet,,,,,,,,,,,,,,,,,,,
trustwallet-mainnet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
zerion-mainnet,,!offer:zerion,,,,,,,,,,,,,,,,,,,
