slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
chainlink-ccip-mainnet,,!offer:chainlink-ccip,,service,,,,,,
zero-dev-developer-mainnet,,!offer:zero-dev-developer,,service,,,,,,
