slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,,mainnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,,mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,,mainnet,,,,,,,,,,,,
