slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
goracle-mainnet,Gora,,"[""[Docs](https://github.com/GoraNetwork)""]",mainnet,Custom,FALSE,"[""REST API""]","[""Decentralized node monitoring"",""Ecosystem rewards""]","[""Industry-specific fully customizable oracle solution"",""multiple industry templates""]","[""Financial data"",""Sports stats"",""Supply chain milestones"",""Healthcare metrics""]",Decentralized,TRUE,Node runners secured by token delegation and governance on Algorand blockchain,"[""TypeScript"",""Python"",""JavaScript"",""CSS"",""Cairo""]",,
tellor-mainnet,Tellor,,"[""[Docs](https://docs.tellor.io/tellor/)""]",mainnet,Custom,FALSE,"[""REST API"",""GraphQL""]","[""Dashboard"",""Uptime Monitoring"",""Node Stats""]","[""Enshrined feeds"",""Custom data types""]","[""Price Feeds"",""Custom Data""]",Decentralized,TRUE,"Staking requirement, dispute mechanism","[""TypeScript"",""JavaScript"",""Solidity""]","[""Trail of Bits"",""CertiK"",""Zellic""]",
