slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
hemi-drpc-free-recent-state,,!offer:drpc-free-recent-state,"[[\"Website\"](https://drpc.org/chainlist/hemi-mainnet-rpc)]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
hemi-drpc-pay-as-you-go-recent-state,,!offer:drpc-pay-as-you-go-recent-state,"[[\"Buy\"](https://drpc.org/chainlist/hemi-mainnet-rpc)]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
hemi-drpc-public-recent-state,,!offer:drpc-public-recent-state,"[[\"Website\"](https://drpc.org/chainlist/hemi-mainnet-rpc)]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
