slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
hemi-explorer-mainnet,Hemi,,"[[\"Explore\"](https://explorer.hemi.xyz/)]",mainnet,Custom,,,,,,,,,,
hemi-explorer-testnet,Hemi,,"[[\"Explore\"](https://testnet.explorer.hemi.xyz/)]",testnet,Custom,,,,,,,,,,
