slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
etherscan-mainnet,,!offer:etherscan,"[""[Explore](https://bobascan.com/)""]",mainnet,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explore](https://dashboard.tenderly.co/explorer/boba)""]",mainnet,,,,,,,,,,,
