slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia)""]",mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,"[""[Website](https://market.api3.org/somnia-testnet)""]",testnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",mainnet,,,,,,,,,,,,
dia-testnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]",testnet,,,,,,,,,,,,
protofire-chainlink-mainnet,Protofire,,"[""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/protofire-price-feeds)""]",mainnet,Chainlink,TRUE,"[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Compatible with Chainlink decentralized nodes""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]",,
protofire-chainlink-testnet,Protofire,,"[""[Docs](https://docs.somnia.network/developer/building-dapps/oracles/using-verifiable-randomness-vrf)""]",testnet,Chainlink ,TRUE,"[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Compatible with Chainlink decentralized nodes""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]",,
