slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
okx-mainnet,,!offer:okx,"[""[Explore](https://www.okx.com/web3/explorer/xlayer)""]",mainnet,,,,,,,,,,,
okx-testnet,,!offer:okx,"[""[Explore](https://www.okx.com/web3/explorer/xlayer-test)""]",testnet,,,,,,,,,,,
