slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/data-feeds/starknet)"", ""[Starknet Integrations](https://docs.starknet.io/learn/cheatsheets/integrations.md)""]",testnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/use-real-time-data/starknet/)"", ""[Starknet Integrations](https://docs.starknet.io/learn/cheatsheets/integrations.md)""]",testnet,,,,,,,,,,,,
