slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
alchemy-mainnet-free-recent-state,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/starknet)"",""[Docs](https://www.alchemy.com/docs/reference/starknet-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.com/build-better-with-starknet/)"",""[Docs](https://docs.chainstack.com/docs/starknet-tooling)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-free-recent-state,,!offer:drpc-free-recent-state,"[""[Website](https://drpc.org/chainlist/starknet-mainnet-rpc)"",""[Docs](https://drpc.org/docs)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Website](https://getblock.io/nodes/strk/)"",""[Docs](https://docs.getblock.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,,!offer:quicknode-build-recent-state,"[""[Website](https://www.quicknode.com/chains/strk)"",""[Docs](https://www.quicknode.com/docs/starknet)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
