slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
celer-astar,,!offer:celer,,astar,,,,,,,,,,,,,,,,,,
celer-shiden,,!offer:celer,,shiden,,,,,,,,,,,,,,,,,,
chainlink-bridge-astar,,!offer:chainlink-bridge,,astar,,,,,,,,,,,,,,,,,,
hyperlane-astar,,!offer:hyperlane,,astar,,,,,,,,,,,,,,,,,,
interport-astar,,!offer:interport,,astar,,,,,,,,,,,,,,,,,,
smolrefuel-astar,,!offer:smolrefuel,,astar,,,,,,,,,,,,,,,,,,
wanchain-bridge-astar,,!offer:wanchain,,astar,,,,,,,,,,,,,,,,,,
