slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
astar-shibuya,,!offer:astar-faucet,"[""[Get tokens](https://portal.astar.network/shibuya-testnet/assets)""]",shibuya,,,,,10 SBY,,,,
chainlink-shibuya,,!offer:chainlink-faucet,"[""[Get tokens](https://faucets.chain.link/astar-shibuya)""]",shibuya,,,,,25 LINK,,,,
