slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/world)""]",mainnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/data-streams)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#mainnets)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://docs.redstone.finance/docs/dapps/redstone-pull/)""]",mainnet,,,,,,,,,,,,
witnet-mainnet,,!offer:witnet,"[""[Docs](https://docs.witnet.io/intro/tutorials/data-feeds-tutorial)""]",mainnet,,,,,,,,,,,,
