slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/aptos-mainnet)""]",mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/testnet/chain/aptos-testnet)""]",testnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/aptos)""]",mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/aptos)""]",testnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle#aptos)""]",mainnet,,,,,,,,,,,,
supra-testnet,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle#aptos)""]",testnet,,,,,,,,,,,,
