slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://api3.org/)"",""[Docs](https://docs.merlinchain.io/merlin-docs/developers/builder-guides/developer-tools/oracle)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Website](https://pyth.network/)"",""[Docs](https://docs.merlinchain.io/merlin-docs/developers/builder-guides/developer-tools/oracle)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Website](https://redstone.finance/)"",""[Docs](https://docs.merlinchain.io/merlin-docs/developers/builder-guides/developer-tools/oracle)""]",mainnet,,,,,,,,,,,,
