slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
blockpi-mainnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Docs](https://blockpi.io/chain/merlin/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-free-recent-state,,!offer:drpc-free-recent-state,"[""[Docs](https://drpc.org/chainlist/merlin-mainnet-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
