slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
berachain-mainnet-public-rpc,Berachain,Public RPC,"[""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
berachain-testnet-public-rpc,Berachain,Public RPC,"[""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
