slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,,!offer:3xpl,"[""[Explore](https://3xpl.com/scroll)""]",mainnet,,,,,,,,,,,
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://scroll.blockscout.com/)"",""[Docs](https://scroll.blockscout.com/api-docs)""]",mainnet,,,,,,,,,,,
etherscan-mainnet,,!offer:etherscan,"[""[Explore](https://scrollscan.com/)""]",mainnet,,,,,,,,,,,
etherscan-testnet,,!offer:etherscan,"[""[Explore](https://sepolia.scrollscan.com/)""]",testnet,,,,,,,,,,,
oklink-mainnet,,!offer:oklink,"[""[Explore](https://www.oklink.com/scroll)""]",mainnet,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explore](https://dashboard.tenderly.co/explorer/scroll)""]",mainnet,,,,,,,,,,,
