slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3,,!offer:api3,"[""[Website](https://market.api3.org/scroll)""]",mainnet,,,,,,,,,,,,
chainlink,,!offer:chainlink,"[""[Website](https://docs.chain.link/ccip/directory/mainnet/chain/ethereum-mainnet-scroll-1)""]",mainnet,,,,,,,,,,,,
chronicle,,!offer:chronicle,"[""[WSTETH/USD](https://chroniclelabs.org/dashboard/oracle/WSTETH/USD#blockchain=SCR)""]",mainnet,,,,,,,,,,,,
pyth,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#mainnets)""]",mainnet,,,,,,,,,,,,
redstone,,!offer:redstone,"[""[Docs](https://app.redstone.finance/push-feeds?size=32&networks=scroll)""]",mainnet,,,,,,,,,,,,
